INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(68,'Choroba 113653','Opis choroby 113653','Objawy choroby 113653')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(74,'Choroba 959206','Opis choroby 959206','Objawy choroby 959206')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(72,'Choroba 782265','Opis choroby 782265','Objawy choroby 782265')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(80,'Choroba 551514','Opis choroby 551514','Objawy choroby 551514')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(86,'Choroba 766917','Opis choroby 766917','Objawy choroby 766917')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(84,'Choroba 889285','Opis choroby 889285','Objawy choroby 889285')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(92,'Choroba 939467','Opis choroby 939467','Objawy choroby 939467')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(98,'Choroba 991453','Opis choroby 991453','Objawy choroby 991453')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(96,'Choroba 323663','Opis choroby 323663','Objawy choroby 323663')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(104,'Choroba 22711','Opis choroby 22711','Objawy choroby 22711')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(110,'Choroba 517733','Opis choroby 517733','Objawy choroby 517733')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(108,'Choroba 7654','Opis choroby 7654','Objawy choroby 7654')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(116,'Choroba 574583','Opis choroby 574583','Objawy choroby 574583')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(122,'Choroba 644024','Opis choroby 644024','Objawy choroby 644024')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(120,'Choroba 850410','Opis choroby 850410','Objawy choroby 850410')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(128,'Choroba 671144','Opis choroby 671144','Objawy choroby 671144')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(134,'Choroba 298891','Opis choroby 298891','Objawy choroby 298891')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(132,'Choroba 122372','Opis choroby 122372','Objawy choroby 122372')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(140,'Choroba 331240','Opis choroby 331240','Objawy choroby 331240')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(146,'Choroba 902692','Opis choroby 902692','Objawy choroby 902692')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(144,'Choroba 143340','Opis choroby 143340','Objawy choroby 143340')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(152,'Choroba 216520','Opis choroby 216520','Objawy choroby 216520')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(158,'Choroba 465024','Opis choroby 465024','Objawy choroby 465024')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(156,'Choroba 802868','Opis choroby 802868','Objawy choroby 802868')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(164,'Choroba 233745','Opis choroby 233745','Objawy choroby 233745')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(170,'Choroba 361469','Opis choroby 361469','Objawy choroby 361469')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(168,'Choroba 53186','Opis choroby 53186','Objawy choroby 53186')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(176,'Choroba 397088','Opis choroby 397088','Objawy choroby 397088')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(182,'Choroba 554326','Opis choroby 554326','Objawy choroby 554326')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(180,'Choroba 282310','Opis choroby 282310','Objawy choroby 282310')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(188,'Choroba 769809','Opis choroby 769809','Objawy choroby 769809')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(194,'Choroba 673708','Opis choroby 673708','Objawy choroby 673708')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(192,'Choroba 66144','Opis choroby 66144','Objawy choroby 66144')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(200,'Choroba 836274','Opis choroby 836274','Objawy choroby 836274')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(206,'Choroba 504922','Opis choroby 504922','Objawy choroby 504922')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(204,'Choroba 805462','Opis choroby 805462','Objawy choroby 805462')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(212,'Choroba 460633','Opis choroby 460633','Objawy choroby 460633')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(218,'Choroba 759205','Opis choroby 759205','Objawy choroby 759205')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(216,'Choroba 389154','Opis choroby 389154','Objawy choroby 389154')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(224,'Choroba 677170','Opis choroby 677170','Objawy choroby 677170')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(230,'Choroba 639356','Opis choroby 639356','Objawy choroby 639356')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(228,'Choroba 456444','Opis choroby 456444','Objawy choroby 456444')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(236,'Choroba 745830','Opis choroby 745830','Objawy choroby 745830')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(242,'Choroba 777979','Opis choroby 777979','Objawy choroby 777979')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(240,'Choroba 379946','Opis choroby 379946','Objawy choroby 379946')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(248,'Choroba 639585','Opis choroby 639585','Objawy choroby 639585')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(254,'Choroba 788516','Opis choroby 788516','Objawy choroby 788516')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(252,'Choroba 146760','Opis choroby 146760','Objawy choroby 146760')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(260,'Choroba 376045','Opis choroby 376045','Objawy choroby 376045')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(266,'Choroba 878741','Opis choroby 878741','Objawy choroby 878741')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(264,'Choroba 237305','Opis choroby 237305','Objawy choroby 237305')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(272,'Choroba 792937','Opis choroby 792937','Objawy choroby 792937')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(278,'Choroba 663807','Opis choroby 663807','Objawy choroby 663807')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(276,'Choroba 122457','Opis choroby 122457','Objawy choroby 122457')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(284,'Choroba 392641','Opis choroby 392641','Objawy choroby 392641')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(290,'Choroba 892052','Opis choroby 892052','Objawy choroby 892052')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(288,'Choroba 231605','Opis choroby 231605','Objawy choroby 231605')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(296,'Choroba 423426','Opis choroby 423426','Objawy choroby 423426')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(302,'Choroba 860722','Opis choroby 860722','Objawy choroby 860722')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(300,'Choroba 503853','Opis choroby 503853','Objawy choroby 503853')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(308,'Choroba 102076','Opis choroby 102076','Objawy choroby 102076')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(314,'Choroba 383354','Opis choroby 383354','Objawy choroby 383354')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(312,'Choroba 850231','Opis choroby 850231','Objawy choroby 850231')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(320,'Choroba 808015','Opis choroby 808015','Objawy choroby 808015')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(326,'Choroba 318954','Opis choroby 318954','Objawy choroby 318954')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(324,'Choroba 523325','Opis choroby 523325','Objawy choroby 523325')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(332,'Choroba 139853','Opis choroby 139853','Objawy choroby 139853')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(338,'Choroba 833142','Opis choroby 833142','Objawy choroby 833142')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(336,'Choroba 840995','Opis choroby 840995','Objawy choroby 840995')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(344,'Choroba 981069','Opis choroby 981069','Objawy choroby 981069')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(350,'Choroba 73967','Opis choroby 73967','Objawy choroby 73967')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(348,'Choroba 676514','Opis choroby 676514','Objawy choroby 676514')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(356,'Choroba 899836','Opis choroby 899836','Objawy choroby 899836')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(362,'Choroba 668887','Opis choroby 668887','Objawy choroby 668887')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(360,'Choroba 760411','Opis choroby 760411','Objawy choroby 760411')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(368,'Choroba 193586','Opis choroby 193586','Objawy choroby 193586')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(374,'Choroba 83266','Opis choroby 83266','Objawy choroby 83266')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(372,'Choroba 499933','Opis choroby 499933','Objawy choroby 499933')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(380,'Choroba 856111','Opis choroby 856111','Objawy choroby 856111')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(386,'Choroba 619840','Opis choroby 619840','Objawy choroby 619840')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(384,'Choroba 722340','Opis choroby 722340','Objawy choroby 722340')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(392,'Choroba 260539','Opis choroby 260539','Objawy choroby 260539')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(398,'Choroba 216343','Opis choroby 216343','Objawy choroby 216343')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(396,'Choroba 515341','Opis choroby 515341','Objawy choroby 515341')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(404,'Choroba 51077','Opis choroby 51077','Objawy choroby 51077')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(410,'Choroba 774568','Opis choroby 774568','Objawy choroby 774568')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(408,'Choroba 67084','Opis choroby 67084','Objawy choroby 67084')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(416,'Choroba 329691','Opis choroby 329691','Objawy choroby 329691')
INSERT INTO baza.Choroba(numer, nazwa, opis, objawy) VALUES(422,'Choroba 785168','Opis choroby 785168','Objawy choroby 785168')
